id,name,address,lon,lat,map_osm,map_google,ground_truth_lon,ground_truth_lat,label
08f274075085e8ad03074313ff1b43bc,Welcker's Lounge,,-87.2479153,45.1283416,https://www.openstreetmap.org/?mlat=45.1283416&mlon=-87.2479153&zoom=17,"https://www.google.com/maps/search/?api=1&query=45.1283416,-87.2479153",,,
08f2aa847286b130031d1110c4c0a9d5,Laundroland,,-76.988603,38.991318,https://www.openstreetmap.org/?mlat=38.991318&mlon=-76.988603&zoom=17,"https://www.google.com/maps/search/?api=1&query=38.991318,-76.988603",,,
08f2a10a1425674c03049cb5dbbe0849,Energy Fuel,,-73.3119232,40.7668177,https://www.openstreetmap.org/?mlat=40.7668177&mlon=-73.3119232&zoom=17,"https://www.google.com/maps/search/?api=1&query=40.7668177,-73.3119232",,,
08f28300ed7221ae03a5043f9b5e9f71,Consign & Design,,-122.2991658,38.3232665,https://www.openstreetmap.org/?mlat=38.3232665&mlon=-122.2991658&zoom=17,"https://www.google.com/maps/search/?api=1&query=38.3232665,-122.2991658",,,
08f2659a4e6f4173039b03538cc7a75a,Panera Bread,,-89.8562893,34.9605966,https://www.openstreetmap.org/?mlat=34.9605966&mlon=-89.8562893&zoom=17,"https://www.google.com/maps/search/?api=1&query=34.9605966,-89.8562893",,,
08f4451ba601c36d03d8466728ae63a3,Church Street Cakery,,-89.421095,31.2859277,https://www.openstreetmap.org/?mlat=31.2859277&mlon=-89.421095&zoom=17,"https://www.google.com/maps/search/?api=1&query=31.2859277,-89.421095",,,
08f2a304458cb501037f69380780cad1,Liban D'Or,,-71.1897856,42.7284523,https://www.openstreetmap.org/?mlat=42.7284523&mlon=-71.1897856&zoom=17,"https://www.google.com/maps/search/?api=1&query=42.7284523,-71.1897856",,,
08f28f0b26d1c61003d0233cb062ad85,Nash & Nichol,,-123.1931109,45.21015,https://www.openstreetmap.org/?mlat=45.21015&mlon=-123.1931109&zoom=17,"https://www.google.com/maps/search/?api=1&query=45.21015,-123.1931109",,,
08f275249b5166560369769812369402,New Creations Child Care and Learning Center,,-93.6896303,45.3327406,https://www.openstreetmap.org/?mlat=45.3327406&mlon=-93.6896303&zoom=17,"https://www.google.com/maps/search/?api=1&query=45.3327406,-93.6896303",,,
08f2b892182ce52c038fa261dbef6f98,Stair Galleries,,-73.7851866,42.2483704,https://www.openstreetmap.org/?mlat=42.2483704&mlon=-73.7851866&zoom=17,"https://www.google.com/maps/search/?api=1&query=42.2483704,-73.7851866",,,
